TIME,year,month,T,R_HF_index1,R_HF_index2,R_HF_index3,R_HF_index4,R_HF_index5,R_HF_index6,R_HF_index7,R_HF_index8,R_HF_index9,R_HF_index10,R_HF_index11,R_HF_index12,R_HF_index13,R_HF_index14,R_HF_index15,R_HF_index16,R_HF_index17,R_HF_index18,R_HF_index19,R_HF_index20,R_HF_index21,R_HF_index22,R_HF_index23,R_HF_index24,R_HF_index25,R_HF_index26,R_HF_index27,R_HF_index28,R_HF_index29,R_HF_index30,R_HF_index31,R_HF_index32,R_HF_index33,R_HF_index34,R_HF_index35,R_HF_index36,R_HF_index37,R_HF_index38,R_HF_index39,R_HF_index40,R_HF_index41,R_HF_index42,R_HF_index43,R_HF_index44,R_HF_index45,R_HF_index46,R_HF_index47,R_HF_index48,R_HF_index49,R_HF_index50,R_HF_index51,R_HF_index52,R_HF_index53,R_HF_index54,R_HF_index55,eR_HF_index1,eR_HF_index2,eR_HF_index3,eR_HF_index4,eR_HF_index5,eR_HF_index6,eR_HF_index7,eR_HF_index8,eR_HF_index9,eR_HF_index10,eR_HF_index11,eR_HF_index12,eR_HF_index13,eR_HF_index14,eR_HF_index15,eR_HF_index16,eR_HF_index17,eR_HF_index18,eR_HF_index19,eR_HF_index20,eR_HF_index21,eR_HF_index22,eR_HF_index23,eR_HF_index24,eR_HF_index25,eR_HF_index26,eR_HF_index27,eR_HF_index28,eR_HF_index29,eR_HF_index30,eR_HF_index31,eR_HF_index32,eR_HF_index33,eR_HF_index34,eR_HF_index35,eR_HF_index36,eR_HF_index37,eR_HF_index38,eR_HF_index39,eR_HF_index40,eR_HF_index41,eR_HF_index42,eR_HF_index43,eR_HF_index44,eR_HF_index45,eR_HF_index46,eR_HF_index47,eR_HF_index48,eR_HF_index49,eR_HF_index50,eR_HF_index51,eR_HF_index52,eR_HF_index53,eR_HF_index54,eR_HF_index55
1992m9,1992,9,1992,,,,,.009257,.013311,,,.0116321,,,,.0255703,,.0474559,.0141001,.0335315,.0268367,,.0426763,,.0363319,,,.0247902,.0135084,.0135084,.0170538,-.005113,.0672212,.024595,.0192142,.0229047,,.0279663,.0194055,,.022544,,,,,,-.0032051,,.0032946,,.0144944,.0153811,,.0032946,,,,,,,,,.0066604,.0107144,,,.0090355,,,,.0229736,,.0448593,.0115035,.0309349,.02424,,.0400796,,.0337353,,,.0221935,.0109117,.0109117,.0144571,-.0077097,.0646245,.0219984,.0166176,.020308,,.0253696,.0168089,,.0199473,,,,,,-.0058018,,.0006979,,.0118978,.0127845,,.0006979,,,,
1992m10,1992,10,1992,,,,,.0011993,.003992,,,.0103463,,,,.046979,,.0404699,-.0430119,.0322736,.0516432,,.0936725,,-.0417599,,,.0200967,.0095542,.0153811,.0192142,-.0121738,.0253032,.0168571,.0208805,.0266449,,.0292189,.0223044,,.0455468,,,,,,.0176434,,.005087,,.0123238,-.0080322,,.0127188,,,,,,,,,-.0010981,.0016947,,,.0080489,,,,.0446816,,.0381726,-.0453093,.0299762,.0493459,,.0913751,,-.0440573,,,.0177993,.0072569,.0130837,.0169169,-.0144712,.0230058,.0145598,.0185831,.0243475,,.0269216,.020007,,.0432495,,,,,,.0153461,,.0027897,,.0100264,-.0103295,,.0104214,,,,
1992m11,1992,11,1992,,,,,.0164637,-.0224501,,,.0117309,,,,.0670042,,.0478373,-.0703152,.0030952,.0197046,,.0357532,,-.0482453,,,.0441126,.0169554,.0030952,.0009995,-.0040552,.0156499,.0029955,.0276152,.0313368,,.032411,.0285223,,.0308201,,,,,,.0314018,,.0172504,,.0069756,.0111377,,.0172504,,,,,,,,,.0141664,-.0247475,,,.0094336,,,,.0647069,,.04554,-.0726125,.0007978,.0174072,,.0334558,,-.0505427,,,.0418152,.0146581,.0007978,-.0012979,-.0063526,.0133525,.0006982,.0253178,.0290395,,.0301137,.026225,,.0285228,,,,,,.0291044,,.014953,,.0046783,.0088404,,.014953,,,,
1992m12,1992,12,1992,,,,,.0280042,.0189199,,,.0152826,,,,.0322736,,.0465973,.0005998,.0209784,-.0111621,,.0015987,,.0843412,,,.0332413,.0307232,.0070749,.0150856,.0056222,.0352011,.0179381,.0249853,.0279634,,.0276443,.0247531,,.013607,,,,,,.0191161,,.0110388,,.010841,.0164637,,.0159718,,,,,,,,,.0252081,.0161238,,,.0124865,,,,.0294775,,.0438012,-.0021963,.0181823,-.0139582,,-.0011974,,.0815451,,,.0304452,.0279271,.0042788,.0122896,.0028261,.032405,.0151421,.0221892,.0251673,,.0248483,.021957,,.0108109,,,,,,.01632,,.0082428,,.0080449,.0136676,,.0131757,,,,
1993m1,1993,1,1993,,,,,.0440169,.0209784,,,.0189199,,,,.0227395,,.0364284,-.0136933,.0362355,.0317893,,.0497421,,.0333381,,,.0206846,.0302382,.009257,.0055844,.0015648,.0166073,.0086624,.022935,.0259377,,.026749,.0234606,,.0090588,,,,,,.0115332,,.0230327,.0087615,.009257,.0329511,,.007472,,,,,,,,,.0417195,.018681,,,.0166225,,,,.0204421,,.034131,-.0159907,.0339381,.029492,,.0474447,,.0310407,,,.0183872,.0279408,.0069597,.003287,-.0007326,.01431,.006365,.0206376,.0236403,,.0244517,.0211633,,.0067615,,,,,,.0092359,,.0207353,.0064641,.0069597,.0306537,,.0051747,,,,
1993m2,1993,2,1993,,,,,.0250828,.016267,,,.0105442,,,,-.0150121,,-.0339705,.0588348,.061001,.0591176,,.0676586,,.0593061,,,-.0057163,.0161686,.0081666,.0286846,.0236843,.0165562,.0217615,.013311,.0159462,,.0168139,.0129498,,.0504079,,,,,,.0137056,,.0089597,.0132123,.0085632,.026155,,.0159718,,,,,,,,,.0228852,.0140694,,,.0083466,,,,-.0172097,,-.0361681,.0566372,.0588034,.05692,,.0654611,,.0571085,,,-.0079139,.013971,.005969,.0264871,.0214867,.0143586,.0195639,.0111134,.0137486,,.0146163,.0107522,,.0482103,,,,,,.0115081,,.0067622,.0110147,.0063656,.0239574,,.0137742,,,,
1993m3,1993,3,1993,,,,,.0309171,.004888,,,.0165621,,,,.0370067,,.0277124,-.034695,.0398936,.0430595,,.0216636,,.0476467,,,.0320799,.0377774,.0165621,.0157749,-.0116294,.0258617,.0149871,.0301412,.0312952,,.030951,.0294617,,.0539198,,,,,,.0339182,,.036139,.0075713,.0216636,.0216636,,.012225,,,,,,,,,.0284202,.0023912,,,.0140652,,,,.0345098,,.0252156,-.0371918,.0373967,.0405626,,.0191668,,.0451498,,,.029583,.0352805,.0140652,.013278,-.0141262,.0233648,.0124902,.0276443,.0287983,,.0284542,.0269648,,.051423,,,,,,.0314213,,.0336422,.0050744,.0191668,.0191668,,.0097281,,,,
1993m4,1993,4,1993,,,,,.0161686,.0129162,,,-.001401,,,,-.0026034,,.009257,.040854,.0489806,.0752002,,.0588348,,.005286,,,.0129162,.0120274,.0143959,.0271287,.0183771,.0200193,.0227395,.0147901,.0158389,,.0162591,.0142835,,.0265446,,,,,,.0260575,,.0237165,.0071742,.0148886,.0068763,,.0101483,,,,,,,,,.0137715,.0105191,,,-.0037981,,,,-.0050005,,.0068599,.0384569,.0465835,.0728031,,.0564377,,.0028889,,,.0105191,.0096303,.0119988,.0247315,.01598,.0176221,.0203424,.012393,.0134418,,.013862,.0118864,,.0241474,,,,,,.0236604,,.0213194,.0047771,.0124915,.0044792,,.0077512,,,,
1993m5,1993,5,1993,,,,,.022055,.0116321,,,.0057832,,,,.0509782,,.0346912,-.0964008,.0542988,.041046,,.0657877,,.0700856,,,.0268367,.0186255,.0139029,.0182328,.0052044,.0297801,.0204887,.0256677,.027118,,.0279108,.026304,,.0294617,,,,,,.0418135,,.0243023,.0096533,.0123238,.0166604,,.0113355,,,,,,,,,.0198574,.0094345,,,.0035857,,,,.0487807,,.0324937,-.0985984,.0521012,.0388484,,.0635902,,.067888,,,.0246391,.0164279,.0117053,.0160352,.0030068,.0275826,.0182911,.0234702,.0249204,,.0257133,.0241064,,.0272641,,,,,,.0396159,,.0221047,.0074557,.0101262,.0144629,,.0091379,,,,
1993m6,1993,6,1993,,,,,.0267393,.0222506,,,.0234235,,,,.0142973,,.024595,.0015987,.0448778,-.0130852,,.065975,,.1305896,,,.0296559,.0294617,.0173486,.0221528,.0316082,.0416293,.0271287,.0258627,.0293695,,.0294491,.0260059,,.0690595,,,,,,.007869,,.0161686,.0143959,.0103463,.024595,,.0139029,,,,,,,,,.0242424,.0197537,,,.0209266,,,,.0118004,,.0220982,-.0008982,.0423809,-.0155821,,.0634781,,.1280927,,,.027159,.0269648,.0148518,.0196559,.0291113,.0391325,.0246318,.0233658,.0268726,,.0269522,.023509,,.0665627,,,,,,.0053721,,.0136717,.011899,.0078494,.0220982,,.011406,,,,
